SPECIES_NAME,DIACLASS,DIA,HT,CRRATIO,FOFEM_PMORT_6FT_SFL,SENSITIVITY CLASS
Douglas-fir,1TO10,4.314541531,31.54013268,49.58295603,0.98,Sensitive
Douglas-fir,10TO20,14.05738786,88.44760648,40.99981153,0.12,Resistant
Douglas-fir,>20,30.01367167,144.7630063,39.95795911,0.12,Resistant
Engelmann spruce,1TO10,3.909738979,19.51133116,48.66620405,0.99,Sensitive
Engelmann spruce,10TO20,14.78,74.3,53.5,0.85,Sensitive
Engelmann spruce,>20,27.18064862,129.1104232,63.6469154,0.52,Tolerant
lodgepole pine,1TO10,3.330692874,21.49822063,45.56450065,1,Sensitive
lodgepole pine,10TO20,12.07671233,70.53424658,38.33333333,0.24,Resistant
mountain hemlock,1TO10,3.987191992,19.51440972,55.75749915,1,Sensitive
mountain hemlock,10TO20,13.74222649,66.74184261,51.81669866,0.68,Tolerant
mountain hemlock,>20,24.53472728,100.4947863,48.48995137,0.12,Resistant
noble fir,1TO10,4.330507747,23.53898417,57.2353279,1,Sensitive
noble fir,10TO20,13.98590308,76.38325991,45.05286344,0.27,Tolerant
noble fir,>20,28.24482851,128.3026837,35.46929814,0.08,Resistant
Pacific silver fir,1TO10,3.49508456,18.60719206,43.70892416,1,Sensitive
Pacific silver fir,10TO20,13.48503937,74.5151856,44.86726659,0.99,Sensitive
Pacific silver fir,>20,24.81161593,115.2676568,48.13991839,0.16,Resistant
subalpine fir,1TO10,2.956136307,14.06757664,49.00394646,1,Sensitive
subalpine fir,10TO20,12.68157895,52.02631579,53.94736842,0.99,Sensitive
subalpine fir,>20,23.7219462,89.3977781,52.40431002,0.16,Resistant
western hemlock,1TO10,3.605882415,23.49188604,45.11590721,1,Sensitive
western hemlock,10TO20,13.77317073,82.97873671,49.38398999,0.33,Tolerant
western hemlock,>20,26.53849067,128.2502465,52.22088802,0.1,Resistant
western red cedar,1TO10,3.48329257,21.60392616,44.25347803,1,Sensitive
western red cedar,10TO20,13.92668919,72.01351351,47.85135135,0.49,Tolerant
western red cedar,>20,28.38991502,118.1181177,48.37402994,0.12,Resistant
white/grand fir,1TO10,3.426540288,21.4155388,48.06992106,1,Sensitive
white/grand fir,10TO20,13.93778135,81.14630225,45.99678457,0.16,Resistant
white/grand fir,>20,25.90387246,125.0365763,47.99729764,0.16,Resistant
